,Age Groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over
"      Czech and Slovak Federal Republic, former",    1946 to 1950,1670,0,0,0,310,1360
"      Czech and Slovak Federal Republic, former",    1951 to 1955,2360,0,0,10,330,2020
"      Czech and Slovak Federal Republic, former",    1956 to 1960,1255,0,0,20,235,1000
"      Czech and Slovak Federal Republic, former",    1961 to 1965,645,0,0,55,190,395
"      Czech and Slovak Federal Republic, former",    1966 to 1970,9740,0,0,2190,4350,3200
"      Czech and Slovak Federal Republic, former",    1970 to 1975,1860,0,0,495,900,465
"      Czech and Slovak Federal Republic, former",    1976 to 1980,1810,0,0,970,620,215
"      Czech and Slovak Federal Republic, former",    1981 to 1985,3950,0,100,2740,955,155
"      Czech and Slovak Federal Republic, former",    1986 to 1990,4170,0,450,3030,575,115
"      Czech and Slovak Federal Republic, former",    1991 to 1995,2385,25,330,1730,215,85
"      Czech and Slovak Federal Republic, former",    1996 to 2000,2780,265,425,1885,145,55
"      Czech and Slovak Federal Republic, former",    2001 to 2006,3350,485,305,2370,115,70
"      Czech and Slovak Federal Republic, former",  Non-permanent residents,615,40,60,435,30,45
        Czech Republic,Total - Immigrant Status and Period of Immigration,22230,340,775,9070,6075,5970
        Czech Republic,  Non-immigrants,30,10,0,15,0,0
        Czech Republic,  Immigrants,21935,305,750,8890,6040,5950
        Czech Republic,    Before 1915,0,0,0,0,0,0
        Czech Republic,    1916 to 1920,0,0,0,0,0,0
        Czech Republic,    1921 to 1925,10,0,0,0,0,10
        Czech Republic,    1926 to 1930,135,0,0,0,0,135
        Czech Republic,    1931 to 1935,70,0,0,0,0,70
        Czech Republic,    1936 to 1940,315,0,0,0,0,315
        Czech Republic,    1941 to 1945,20,0,0,0,0,20
        Czech Republic,    1946 to 1950,815,0,0,0,165,650
        Czech Republic,    1951 to 1955,1365,0,0,10,205,1150
        Czech Republic,    1956 to 1960,615,0,0,20,135,460
        Czech Republic,    1961 to 1965,310,0,0,35,85,185
        Czech Republic,    1966 to 1970,6950,0,0,1590,3125,2235
        Czech Republic,    1970 to 1975,1290,0,0,340,615,335
        Czech Republic,    1976 to 1980,1255,0,0,745,390,125
        Czech Republic,    1981 to 1985,2805,0,65,1940,710,90
        Czech Republic,    1986 to 1990,2530,0,260,1855,345,75
        Czech Republic,    1991 to 1995,1195,15,175,855,120,35
        Czech Republic,    1996 to 2000,1145,125,190,740,65,20
        Czech Republic,    2001 to 2006,1105,165,65,765,85,35
        Czech Republic,  Non-permanent residents,270,25,35,165,30,10
        Slovakia,Total - Immigrant Status and Period of Immigration,15125,510,890,6665,2530,4530
        Slovakia,  Non-immigrants,20,20,0,0,0,0
        Slovakia,  Immigrants,14765,470,860,6400,2530,4510
        Slovakia,    Before 1915,0,0,0,0,0,0
        Slovakia,    1916 to 1920,0,0,0,0,0,0
        Slovakia,    1921 to 1925,20,0,0,0,0,20
        Slovakia,    1926 to 1930,470,0,0,0,0,470
        Slovakia,    1931 to 1935,460,0,0,0,0,460
        Slovakia,    1936 to 1940,920,0,0,0,0,920
        Slovakia,    1941 to 1945,40,0,0,0,0,40
        Slovakia,    1946 to 1950,680,0,0,0,105,580
        Slovakia,    1951 to 1955,475,0,0,0,60,415
        Slovakia,    1956 to 1960,285,0,0,0,35,250
        Slovakia,    1961 to 1965,210,0,0,20,65,125
        Slovakia,    1966 to 1970,2550,0,0,550,1145,860
        Slovakia,    1970 to 1975,525,0,0,145,265,110
        Slovakia,    1976 to 1980,500,0,0,220,220,65
        Slovakia,    1981 to 1985,1075,0,35,750,225,55
        Slovakia,    1986 to 1990,1570,0,185,1135,210,35
        Slovakia,    1991 to 1995,1145,10,155,845,95,40
        Slovakia,    1996 to 2000,1605,140,235,1125,80,30
        Slovakia,    2001 to 2006,2240,325,245,1605,30,30
        Slovakia,  Non-permanent residents,340,20,30,265,0,20
"        Czechoslovakia, n.o.s.",Total - Immigrant Status and Period of Immigration,2095,0,0,225,370,1490
"        Czechoslovakia, n.o.s.",  Non-immigrants,0,0,0,0,0,0
"        Czechoslovakia, n.o.s.",  Immigrants,2070,0,0,210,370,1485
"        Czechoslovakia, n.o.s.",    Before 1915,0,0,0,0,0,0
"        Czechoslovakia, n.o.s.",    1916 to 1920,0,0,0,0,0,0
"        Czechoslovakia, n.o.s.",    1921 to 1925,0,0,0,0,0,0
"        Czechoslovakia, n.o.s.",    1926 to 1930,120,0,0,0,0,120
"        Czechoslovakia, n.o.s.",    1931 to 1935,90,0,0,0,0,90
"        Czechoslovakia, n.o.s.",    1936 to 1940,130,0,0,0,0,130
"        Czechoslovakia, n.o.s.",    1941 to 1945,10,0,0,0,0,10
"        Czechoslovakia, n.o.s.",    1946 to 1950,175,0,0,0,45,130
"        Czechoslovakia, n.o.s.",    1951 to 1955,520,0,0,0,65,450
"        Czechoslovakia, n.o.s.",    1956 to 1960,355,0,0,0,65,290
"        Czechoslovakia, n.o.s.",    1961 to 1965,125,0,0,0,40,80
"        Czechoslovakia, n.o.s.",    1966 to 1970,240,0,0,50,85,105
"        Czechoslovakia, n.o.s.",    1970 to 1975,50,0,0,10,20,25
"        Czechoslovakia, n.o.s.",    1976 to 1980,50,0,0,10,15,25
"        Czechoslovakia, n.o.s.",    1981 to 1985,70,0,0,45,20,10
"        Czechoslovakia, n.o.s.",    1986 to 1990,65,0,0,40,15,10
"        Czechoslovakia, n.o.s.",    1991 to 1995,40,0,0,30,0,15
"        Czechoslovakia, n.o.s.",    1996 to 2000,30,0,0,25,0,0
"        Czechoslovakia, n.o.s.",    2001 to 2006,10,0,0,0,0,10
"        Czechoslovakia, n.o.s.",  Non-permanent residents,15,0,0,10,0,10
      Hungary,Total - Immigrant Status and Period of Immigration,46610,830,1285,12720,8160,23610
      Hungary,  Non-immigrants,85,25,15,15,10,15
      Hungary,  Immigrants,45735,710,1200,12160,8115,23550
      Hungary,    Before 1915,0,0,0,0,0,0
      Hungary,    1916 to 1920,0,0,0,0,0,0
      Hungary,    1921 to 1925,105,0,0,0,0,105
      Hungary,    1926 to 1930,1085,0,0,0,0,1085
      Hungary,    1931 to 1935,380,0,0,0,0,380
      Hungary,    1936 to 1940,390,0,0,0,0,390
      Hungary,    1941 to 1945,135,0,0,0,20,115
      Hungary,    1946 to 1950,1865,0,0,0,200,1660
      Hungary,    1951 to 1955,3075,0,0,40,385,2645
      Hungary,    1956 to 1960,16525,0,0,1605,2835,12090
      Hungary,    1961 to 1965,2910,0,0,390,775,1740
      Hungary,    1966 to 1970,3350,0,0,495,1120,1730
      Hungary,    1970 to 1975,2095,0,0,560,935,595
      Hungary,    1976 to 1980,1610,0,0,705,605,295
      Hungary,    1981 to 1985,1975,0,40,1350,410,175
      Hungary,    1986 to 1990,3390,0,335,2445,420,195
      Hungary,    1991 to 1995,2335,120,310,1545,220,145
      Hungary,    1996 to 2000,1970,230,225,1270,150,90
      Hungary,    2001 to 2006,2545,360,290,1750,40,110
      Hungary,  Non-permanent residents,795,95,75,545,40,40
      Poland,Total - Immigrant Status and Period of Immigration,171470,1660,14840,86910,23300,44760
      Poland,  Non-immigrants,280,150,25,40,20,40
      Poland,  Immigrants,169785,1415,14630,85945,23190,44610
      Poland,    Before 1915,50,0,0,0,0,50
      Poland,    1916 to 1920,25,0,0,0,0,25
      Poland,    1921 to 1925,430,0,0,0,0,430
      Poland,    1926 to 1930,3555,0,0,0,0,3555
      Poland,    1931 to 1935,975,0,0,0,0,975
      Poland,    1936 to 1940,1505,0,0,0,0,1505
      Poland,    1941 to 1945,275,0,0,0,0,275
      Poland,    1946 to 1950,11035,0,0,0,750,10285
      Poland,    1951 to 1955,8985,0,0,35,825,8125
      Poland,    1956 to 1960,6930,0,0,870,1160,4895
      Poland,    1961 to 1965,5985,0,0,1420,1335,3230
      Poland,    1966 to 1970,5460,0,0,1335,1770,2360
      Poland,    1970 to 1975,4945,0,0,1735,1770,1445
      Poland,    1976 to 1980,5190,0,0,2780,1515,895
      Poland,    1981 to 1985,21975,0,350,14245,5390,1985
      Poland,    1986 to 1990,45520,0,6010,32420,5320,1770
      Poland,    1991 to 1995,32595,275,6100,22245,2485,1490
      Poland,    1996 to 2000,7880,535,1000,4965,560,820
      Poland,    2001 to 2006,6480,605,1165,3905,305,495
      Poland,  Non-permanent residents,1405,95,185,930,90,100
      Romania,Total - Immigrant Status and Period of Immigration,83730,7060,9085,49845,6600,11145
      Romania,  Non-immigrants,45,30,10,0,0,10
      Romania,  Immigrants,82465,6945,8965,48955,6565,11035
      Romania,    Before 1915,0,0,0,0,0,0
      Romania,    1916 to 1920,0,0,0,0,0,0
      Romania,    1921 to 1925,80,0,0,0,0,80
      Romania,    1926 to 1930,475,0,0,0,0,475
      Romania,    1931 to 1935,115,0,0,0,0,115
      Romania,    1936 to 1940,120,0,0,0,0,120
      Romania,    1941 to 1945,50,0,0,0,0,45
      Romania,    1946 to 1950,1225,0,0,0,120,1110
      Romania,    1951 to 1955,2590,0,0,0,235,2355
      Romania,    1956 to 1960,1225,0,0,25,135,1065
      Romania,    1961 to 1965,665,0,0,50,225,395
      Romania,    1966 to 1970,1045,0,0,150,220,675
      Romania,    1970 to 1975,1315,0,0,295,505,515
      Romania,    1976 to 1980,2045,0,0,825,645,570
      Romania,    1981 to 1985,3735,0,40,2085,1030,580
      Romania,    1986 to 1990,7715,0,1070,4625,1315,710
      Romania,    1991 to 1995,15395,490,3310,10000,1045,550
      Romania,    1996 to 2000,16595,1670,2265,11360,470,835
      Romania,    2001 to 2006,28060,4785,2280,19535,615,850
      Romania,  Non-permanent residents,1220,85,110,890,40,95
"      USSR, former (European component)",Total - Immigrant Status and Period of Immigration,160740,11520,21115,71610,11820,44675
"      USSR, former (European component)",  Non-immigrants,165,90,0,35,20,20
"      USSR, former (European component)",  Immigrants,156355,11045,20370,68985,11630,44315
"      USSR, former (European component)",    Before 1915,60,0,0,0,0,60
"      USSR, former (European component)",    1916 to 1920,50,0,0,0,0,50
"      USSR, former (European component)",    1921 to 1925,1145,0,0,0,0,1145
"      USSR, former (European component)",    1926 to 1930,3570,0,0,0,0,3570
"      USSR, former (European component)",    1931 to 1935,570,0,0,0,0,570
"      USSR, former (European component)",    1936 to 1940,825,0,0,0,0,825
"      USSR, former (European component)",    1941 to 1945,370,0,0,0,15,360
"      USSR, former (European component)",    1946 to 1950,14450,0,0,0,1300,13155
"      USSR, former (European component)",    1951 to 1955,10000,0,0,30,710,9265
"      USSR, former (European component)",    1956 to 1960,3665,0,0,135,560,2965
"      USSR, former (European component)",    1961 to 1965,1425,0,0,95,310,1020
"      USSR, former (European component)",    1966 to 1970,1245,0,0,150,315,780
"      USSR, former (European component)",    1970 to 1975,2315,0,0,730,595,990
"      USSR, former (European component)",    1976 to 1980,4460,0,0,1800,1200,1455
"      USSR, former (European component)",    1981 to 1985,2300,0,15,1085,565,630
"      USSR, former (European component)",    1986 to 1990,6305,0,755,3550,960,1040
"      USSR, former (European component)",    1991 to 1995,18195,495,3525,10735,1680,1755
"      USSR, former (European component)",    1996 to 2000,41275,3755,8480,24535,1980,2520
"      USSR, former (European component)",    2001 to 2006,44140,6800,7590,26145,1440,2170
"      USSR, former (European component)",  Non-permanent residents,4220,380,745,2585,170,330
"        Baltic Republics, former Soviet",Total - Immigrant Status and Period of Immigration,19005,470,1100,3510,2210,11715
"        Baltic Republics, former Soviet",  Non-immigrants,20,10,0,0,10,0
"        Baltic Republics, former Soviet",  Immigrants,18640,430,1030,3315,2190,11685
"        Baltic Republics, former Soviet",    Before 1915,0,0,0,0,0,0
"        Baltic Republics, former Soviet",    1916 to 1920,0,0,0,0,0,0
"        Baltic Republics, former Soviet",    1921 to 1925,40,0,0,0,0,40
"        Baltic Republics, former Soviet",    1926 to 1930,190,0,0,0,0,190
"        Baltic Republics, former Soviet",    1931 to 1935,70,0,0,0,0,70
"        Baltic Republics, former Soviet",    1936 to 1940,80,0,0,0,0,80
"        Baltic Republics, former Soviet",    1941 to 1945,85,0,0,0,10,80
"        Baltic Republics, former Soviet",    1946 to 1950,5885,0,0,0,690,5195
"        Baltic Republics, former Soviet",    1951 to 1955,4220,0,0,10,435,3780
"        Baltic Republics, former Soviet",    1956 to 1960,1190,0,0,25,200,970
"        Baltic Republics, former Soviet",    1961 to 1965,395,0,0,40,65,290
"        Baltic Republics, former Soviet",    1966 to 1970,325,0,0,0,65,260
"        Baltic Republics, former Soviet",    1970 to 1975,350,0,0,80,125,145
"        Baltic Republics, former Soviet",    1976 to 1980,350,0,0,140,135,75
"        Baltic Republics, former Soviet",    1981 to 1985,340,0,10,170,65,95
"        Baltic Republics, former Soviet",    1986 to 1990,670,0,80,380,95,115
"        Baltic Republics, former Soviet",    1991 to 1995,1275,30,245,685,185,125
"        Baltic Republics, former Soviet",    1996 to 2000,1610,140,395,880,105,90
"        Baltic Republics, former Soviet",    2001 to 2006,1560,255,295,900,20,85
"        Baltic Republics, former Soviet",  Non-permanent residents,345,40,70,195,10,30
          Estonia,Total - Immigrant Status and Period of Immigration,5365,85,320,605,685,3670
          Estonia,  Non-immigrants,10,0,0,0,10,0
          Estonia,  Immigrants,5245,70,290,565,670,3655
          Estonia,    Before 1915,0,0,0,0,0,0
          Estonia,    1916 to 1920,0,0,0,0,0,0
          Estonia,    1921 to 1925,0,0,0,0,0,0
          Estonia,    1926 to 1930,20,0,0,0,0,20
          Estonia,    1931 to 1935,10,0,0,0,0,10
          Estonia,    1936 to 1940,10,0,0,0,0,10
          Estonia,    1941 to 1945,15,0,0,0,0,15
          Estonia,    1946 to 1950,1995,0,0,0,250,1745
          Estonia,    1951 to 1955,1615,0,0,10,250,1365
          Estonia,    1956 to 1960,285,0,0,0,35,255
          Estonia,    1961 to 1965,75,0,0,0,15,55
          Estonia,    1966 to 1970,60,0,0,0,20,40
          Estonia,    1970 to 1975,50,0,0,0,20,30
          Estonia,    1976 to 1980,20,0,0,0,10,10
          Estonia,    1981 to 1985,40,0,0,10,10,25
          Estonia,    1986 to 1990,80,0,30,25,0,25
          Estonia,    1991 to 1995,365,0,85,210,35,30
          Estonia,    1996 to 2000,390,30,135,185,20,20
          Estonia,    2001 to 2006,230,40,35,125,10,25
          Estonia,  Non-permanent residents,115,25,30,40,0,10
          Latvia,Total - Immigrant Status and Period of Immigration,7090,165,460,1415,875,4175
          Latvia,  Non-immigrants,0,0,0,0,0,0
          Latvia,  Immigrants,7035,165,460,1360,875,4175
          Latvia,    Before 1915,0,0,0,0,0,0
          Latvia,    1916 to 1920,0,0,0,0,0,0
          Latvia,    1921 to 1925,20,0,0,0,0,20
          Latvia,    1926 to 1930,45,0,0,0,0,45
          Latvia,    1931 to 1935,10,0,0,0,0,10
          Latvia,    1936 to 1940,15,0,0,0,0,15
          Latvia,    1941 to 1945,25,0,0,0,0,20
          Latvia,    1946 to 1950,1855,0,0,0,285,1570
          Latvia,    1951 to 1955,1565,0,0,0,140,1420
          Latvia,    1956 to 1960,595,0,0,0,75,510
          Latvia,    1961 to 1965,150,0,0,0,30,125
          Latvia,    1966 to 1970,120,0,0,0,15,105
          Latvia,    1970 to 1975,135,0,0,20,40,75
          Latvia,    1976 to 1980,210,0,0,85,75,50
          Latvia,    1981 to 1985,160,0,0,80,15,60
          Latvia,    1986 to 1990,250,0,20,180,25,30
          Latvia,    1991 to 1995,500,0,100,255,95,45
          Latvia,    1996 to 2000,805,80,190,430,60,45
          Latvia,    2001 to 2006,570,80,150,305,10,35
          Latvia,  Non-permanent residents,55,0,0,55,0,0
          Lithuania,Total - Immigrant Status and Period of Immigration,6550,220,315,1490,650,3875
          Lithuania,  Non-immigrants,10,10,0,0,0,0
          Lithuania,  Immigrants,6355,195,280,1385,645,3850
          Lithuania,    Before 1915,0,0,0,0,0,0
          Lithuania,    1916 to 1920,0,0,0,0,0,0
          Lithuania,    1921 to 1925,10,0,0,0,0,10
          Lithuania,    1926 to 1930,125,0,0,0,0,125
          Lithuania,    1931 to 1935,60,0,0,0,0,60
          Lithuania,    1936 to 1940,55,0,0,0,0,55
          Lithuania,    1941 to 1945,50,0,0,0,0,45
          Lithuania,    1946 to 1950,2035,0,0,0,150,1880
          Lithuania,    1951 to 1955,1045,0,0,0,50,990
          Lithuania,    1956 to 1960,310,0,0,15,90,210
          Lithuania,    1961 to 1965,170,0,0,40,20,105
          Lithuania,    1966 to 1970,150,0,0,0,30,115
          Lithuania,    1970 to 1975,160,0,0,60,65,40
          Lithuania,    1976 to 1980,120,0,0,50,55,25
          Lithuania,    1981 to 1985,145,0,10,80,40,10
          Lithuania,    1986 to 1990,345,0,35,175,65,65
          Lithuania,    1991 to 1995,405,30,60,215,45,60
          Lithuania,    1996 to 2000,415,35,65,265,20,25
          Lithuania,    2001 to 2006,760,135,115,475,0,30
          Lithuania,  Non-permanent residents,175,15,35,105,10,15
"        Eastern Europe Republics, former Soviet",Total - Immigrant Status and Period of Immigration,139525,11020,19735,66835,9270,32665
"        Eastern Europe Republics, former Soviet",  Non-immigrants,150,85,0,35,10,20
"        Eastern Europe Republics, former Soviet",  Immigrants,135520,10585,19060,64430,9095,32340
"        Eastern Europe Republics, former Soviet",    Before 1915,60,0,0,0,0,60
"        Eastern Europe Republics, former Soviet",    1916 to 1920,45,0,0,0,0,45
"        Eastern Europe Republics, former Soviet",    1921 to 1925,1105,0,0,0,0,1105
"        Eastern Europe Republics, former Soviet",    1926 to 1930,3355,0,0,0,0,3355
"        Eastern Europe Republics, former Soviet",    1931 to 1935,495,0,0,0,0,495
"        Eastern Europe Republics, former Soviet",    1936 to 1940,750,0,0,0,0,750
"        Eastern Europe Republics, former Soviet",    1941 to 1945,285,0,0,0,0,280
"        Eastern Europe Republics, former Soviet",    1946 to 1950,8510,0,0,0,590,7915
"        Eastern Europe Republics, former Soviet",    1951 to 1955,5735,0,0,15,260,5460
"        Eastern Europe Republics, former Soviet",    1956 to 1960,2450,0,0,110,355,1985
"        Eastern Europe Republics, former Soviet",    1961 to 1965,1010,0,0,55,235,720
"        Eastern Europe Republics, former Soviet",    1966 to 1970,880,0,0,140,235,500
"        Eastern Europe Republics, former Soviet",    1970 to 1975,1895,0,0,620,440,835
"        Eastern Europe Republics, former Soviet",    1976 to 1980,3955,0,0,1555,1030,1370
"        Eastern Europe Republics, former Soviet",    1981 to 1985,1920,0,0,905,480,520
"        Eastern Europe Republics, former Soviet",    1986 to 1990,5390,0,670,3050,780,895
"        Eastern Europe Republics, former Soviet",    1991 to 1995,16560,465,3190,9835,1465,1615
"        Eastern Europe Republics, former Soviet",    1996 to 2000,38985,3605,7955,23250,1820,2360
"        Eastern Europe Republics, former Soviet",    2001 to 2006,42140,6525,7240,24905,1400,2070
"        Eastern Europe Republics, former Soviet",  Non-permanent residents,3865,340,675,2375,160,305
          Belarus,Total - Immigrant Status and Period of Immigration,7400,775,1280,4060,420,860
          Belarus,  Non-immigrants,15,15,0,0,0,0
          Belarus,  Immigrants,7260,755,1265,3965,420,860
          Belarus,    Before 1915,0,0,0,0,0,0
          Belarus,    1916 to 1920,0,0,0,0,0,0
          Belarus,    1921 to 1925,10,0,0,0,0,10
          Belarus,    1926 to 1930,35,0,0,0,0,35
          Belarus,    1931 to 1935,0,0,0,0,0,0
          Belarus,    1936 to 1940,35,0,0,0,0,35
          Belarus,    1941 to 1945,0,0,0,0,0,0
          Belarus,    1946 to 1950,140,0,0,0,0,140
          Belarus,    1951 to 1955,85,0,0,0,0,80
          Belarus,    1956 to 1960,50,0,0,0,10,50
          Belarus,    1961 to 1965,20,0,0,0,0,20
          Belarus,    1966 to 1970,0,0,0,0,0,0
          Belarus,    1970 to 1975,50,0,0,10,25,15
          Belarus,    1976 to 1980,255,0,0,120,60,75
          Belarus,    1981 to 1985,105,0,0,60,30,10
          Belarus,    1986 to 1990,540,0,85,320,50,85
          Belarus,    1991 to 1995,845,0,185,465,90,100
          Belarus,    1996 to 2000,2400,240,560,1400,100,100
          Belarus,    2001 to 2006,2685,515,435,1595,60,85
          Belarus,  Non-permanent residents,125,10,15,95,0,0
"          Moldova, Republic of",Total - Immigrant Status and Period of Immigration,5495,670,820,3245,300,460
"          Moldova, Republic of",  Non-immigrants,0,0,0,0,0,0
"          Moldova, Republic of",  Immigrants,5245,630,790,3090,285,445
"          Moldova, Republic of",    Before 1915,10,0,0,0,0,10
"          Moldova, Republic of",    1916 to 1920,0,0,0,0,0,0
"          Moldova, Republic of",    1921 to 1925,0,0,0,0,0,0
"          Moldova, Republic of",    1926 to 1930,10,0,0,0,0,10
"          Moldova, Republic of",    1931 to 1935,0,0,0,0,0,0
"          Moldova, Republic of",    1936 to 1940,0,0,0,0,0,0
"          Moldova, Republic of",    1941 to 1945,0,0,0,0,0,0
"          Moldova, Republic of",    1946 to 1950,40,0,0,0,0,40
"          Moldova, Republic of",    1951 to 1955,75,0,0,0,10,70
"          Moldova, Republic of",    1956 to 1960,15,0,0,10,0,10
"          Moldova, Republic of",    1961 to 1965,0,0,0,0,0,0
"          Moldova, Republic of",    1966 to 1970,0,0,0,0,0,0
"          Moldova, Republic of",    1970 to 1975,50,0,0,10,20,20
"          Moldova, Republic of",    1976 to 1980,150,0,0,90,30,30
"          Moldova, Republic of",    1981 to 1985,105,0,0,70,10,25
"          Moldova, Republic of",    1986 to 1990,270,0,10,175,40,35
"          Moldova, Republic of",    1991 to 1995,550,40,55,360,40,65
"          Moldova, Republic of",    1996 to 2000,990,60,220,580,55,65
"          Moldova, Republic of",    2001 to 2006,2975,525,500,1805,85,60
"          Moldova, Republic of",  Non-permanent residents,250,40,40,150,10,10
          Russian Federation,Total - Immigrant Status and Period of Immigration,66160,5795,10440,34580,4695,10645
          Russian Federation,  Non-immigrants,80,45,0,20,10,0
          Russian Federation,  Immigrants,63775,5555,9995,33165,4620,10445
          Russian Federation,    Before 1915,25,0,0,0,0,25
          Russian Federation,    1916 to 1920,20,0,0,0,0,20
          Russian Federation,    1921 to 1925,765,0,0,0,0,765
          Russian Federation,    1926 to 1930,1755,0,0,0,0,1755
          Russian Federation,    1931 to 1935,135,0,0,0,0,135
          Russian Federation,    1936 to 1940,65,0,0,0,0,65
          Russian Federation,    1941 to 1945,60,0,0,0,0,55
          Russian Federation,    1946 to 1950,1265,0,0,0,175,1095
          Russian Federation,    1951 to 1955,1080,0,0,0,90,990
          Russian Federation,    1956 to 1960,635,0,0,55,135,445
          Russian Federation,    1961 to 1965,300,0,0,30,115,150
          Russian Federation,    1966 to 1970,355,0,0,95,125,130
          Russian Federation,    1970 to 1975,950,0,0,345,240,370
          Russian Federation,    1976 to 1980,1985,0,0,700,590,700
          Russian Federation,    1981 to 1985,1065,0,10,555,275,235
          Russian Federation,    1986 to 1990,2325,0,340,1335,325,325
          Russian Federation,    1991 to 1995,8260,275,1695,4820,725,745
          Russian Federation,    1996 to 2000,21635,2145,4315,12905,1015,1255
          Russian Federation,    2001 to 2006,21105,3130,3645,12320,805,1200
          Russian Federation,  Non-permanent residents,2300,195,445,1390,70,200
          Ukraine,Total - Immigrant Status and Period of Immigration,60470,3775,7195,24955,3850,20695
          Ukraine,  Non-immigrants,50,25,0,10,10,15
          Ukraine,  Immigrants,59235,3650,7015,24205,3770,20595
          Ukraine,    Before 1915,30,0,0,0,0,30
          Ukraine,    1916 to 1920,25,0,0,0,0,25
          Ukraine,    1921 to 1925,335,0,0,0,0,335
          Ukraine,    1926 to 1930,1560,0,0,0,0,1560
          Ukraine,    1931 to 1935,355,0,0,0,0,355
          Ukraine,    1936 to 1940,645,0,0,0,0,645
          Ukraine,    1941 to 1945,230,0,0,0,0,230
          Ukraine,    1946 to 1950,7065,0,0,0,415,6650
          Ukraine,    1951 to 1955,4500,0,0,15,165,4325
          Ukraine,    1956 to 1960,1750,0,0,50,215,1485
          Ukraine,    1961 to 1965,690,0,0,25,120,545
          Ukraine,    1966 to 1970,510,0,0,45,105,365
          Ukraine,    1970 to 1975,845,0,0,260,160,430
          Ukraine,    1976 to 1980,1565,0,0,645,350,570
          Ukraine,    1981 to 1985,635,0,10,215,165,245
          Ukraine,    1986 to 1990,2255,0,230,1215,360,450
          Ukraine,    1991 to 1995,6905,145,1265,4185,615,700
          Ukraine,    1996 to 2000,13955,1150,2855,8365,650,935
          Ukraine,    2001 to 2006,15375,2355,2665,9180,455,720
          Ukraine,  Non-permanent residents,1185,100,180,740,80,80
"        USSR, n.o.s.",Total - Immigrant Status and Period of Immigration,2210,30,280,1260,345,295
"        USSR, n.o.s.",  Non-immigrants,0,0,0,0,0,0
"        USSR, n.o.s.",  Immigrants,2200,30,280,1250,345,295
"        USSR, n.o.s.",    Before 1915,0,0,0,0,0,0
"        USSR, n.o.s.",    1916 to 1920,0,0,0,0,0,0
"        USSR, n.o.s.",    1921 to 1925,0,0,0,0,0,0
"        USSR, n.o.s.",    1926 to 1930,30,0,0,0,0,30
"        USSR, n.o.s.",    1931 to 1935,0,0,0,0,0,0
"        USSR, n.o.s.",    1936 to 1940,0,0,0,0,0,0
"        USSR, n.o.s.",    1941 to 1945,0,0,0,0,0,0
"        USSR, n.o.s.",    1946 to 1950,55,0,0,0,20,40
"        USSR, n.o.s.",    1951 to 1955,40,0,0,10,15,30
"        USSR, n.o.s.",    1956 to 1960,15,0,0,0,0,10
"        USSR, n.o.s.",    1961 to 1965,20,0,0,0,0,10
"        USSR, n.o.s.",    1966 to 1970,40,0,0,0,15,20
"        USSR, n.o.s.",    1970 to 1975,75,0,0,35,30,10
"        USSR, n.o.s.",    1976 to 1980,155,0,0,105,40,10
"        USSR, n.o.s.",    1981 to 1985,40,0,0,10,20,15
"        USSR, n.o.s.",    1986 to 1990,240,0,15,120,85,20
"        USSR, n.o.s.",    1991 to 1995,355,0,85,215,35,20
"        USSR, n.o.s.",    1996 to 2000,680,10,135,410,60,65
"        USSR, n.o.s.",    2001 to 2006,440,20,50,340,20,15
"        USSR, n.o.s.",  Non-permanent residents,15,0,0,15,0,0
    Northern Europe,Total - Immigrant Status and Period of Immigration,664240,15630,18345,236575,166745,226940
    Northern Europe,  Non-immigrants,10150,2025,1240,3740,2550,590
    Northern Europe,  Immigrants,639855,10970,15495,224485,163280,225615
    Northern Europe,    Before 1915,700,0,0,0,0,700
    Northern Europe,    1916 to 1920,1685,0,0,0,0,1685
    Northern Europe,    1921 to 1925,4605,0,0,0,0,4605
    Northern Europe,    1926 to 1930,7955,0,0,0,0,7955
    Northern Europe,    1931 to 1935,910,0,0,0,0,910
    Northern Europe,    1936 to 1940,1295,0,0,0,0,1295
    Northern Europe,    1941 to 1945,6825,0,0,0,2485,4340
    Northern Europe,    1946 to 1950,39440,0,0,0,13200,26240
    Northern Europe,    1951 to 1955,63290,0,0,4255,19850,39185
    Northern Europe,    1956 to 1960,88145,0,0,17300,18640,52205
    Northern Europe,    1961 to 1965,54165,0,0,16815,12960,24390
    Northern Europe,    1966 to 1970,110435,0,0,37580,40735,32115
    Northern Europe,    1970 to 1975,74520,0,0,34735,26550,13240
    Northern Europe,    1976 to 1980,53975,0,0,32035,14965,6975
    Northern Europe,    1981 to 1985,32370,0,815,21575,6375,3610
    Northern Europe,    1986 to 1990,29015,0,4380,18640,3390,2605
    Northern Europe,    1991 to 1995,22650,1105,4520,13705,1845,1480
    Northern Europe,    1996 to 2000,20020,3500,2845,11735,925,1025
    Northern Europe,    2001 to 2006,27845,6370,2930,16115,1370,1050
    Northern Europe,  Non-permanent residents,14235,2630,1605,8350,915,735
      Ireland(Eire),Total - Immigrant Status and Period of Immigration,22825,305,565,8275,5585,8095
      Ireland(Eire),  Non-immigrants,175,35,15,95,20,10
      Ireland(Eire),  Immigrants,22205,210,465,7945,5520,8070
      Ireland(Eire),    Before 1915,15,0,0,0,0,15
      Ireland(Eire),    1916 to 1920,45,0,0,0,0,45
