,Age groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over,,,
      Chile,  Immigrants,24445,940,2135,16370,3300,1700,,,
      Chile,    Before 1915,0,0,0,0,0,0,,,
      Chile,    1916 to 1920,0,0,0,0,0,0,,,
      Chile,    1921 to 1925,0,0,0,0,0,0,,,
      Chile,    1926 to 1930,10,0,0,0,0,10,,,
      Chile,    1931 to 1935,10,0,0,0,0,10,,,
      Chile,    1936 to 1940,10,0,0,0,0,10,,,
      Chile,    1941 to 1945,15,0,0,0,0,10,,,
      Chile,    1946 to 1950,15,0,0,0,0,15,,,
      Chile,    1951 to 1955,55,0,0,10,0,40,,,
      Chile,    1956 to 1960,40,0,0,10,10,25,,,
      Chile,    1961 to 1965,50,0,0,30,20,0,,,
      Chile,    1966 to 1970,460,0,0,220,175,65,,,
      Chile,    1971 to 1975,4390,0,0,2910,1145,330,,,
      Chile,    1976 to 1980,6575,0,190,4830,1050,505,,,
      Chile,    1981 to 1985,2940,0,290,2005,335,305,,,
      Chile,    1986 to 1990,4245,140,785,2855,280,185,,,
      Chile,    1991 to 1995,3545,335,595,2270,205,140,,,
      Chile,    1996 to 2001,2095,470,270,1225,70,55,,,
      Chile,  Non-permanent residents,700,145,85,435,20,15,,,
      Colombia,Total - Immigrant Status and Period of Immigration,18345,2650,2300,11240,1395,760,,,
      Colombia,  Non-immigrants,315,60,65,170,15,0,,,
      Colombia,  Immigrants,15460,2125,1655,9615,1330,735,,,
      Colombia,    Before 1915,0,0,0,0,0,0,,,
      Colombia,    1916 to 1920,0,0,0,0,0,0,,,
      Colombia,    1921 to 1925,0,0,0,0,0,0,,,
      Colombia,    1926 to 1930,0,0,0,0,0,0,,,
      Colombia,    1931 to 1935,0,0,0,0,0,0,,,
      Colombia,    1936 to 1940,0,0,0,0,0,0,,,
      Colombia,    1941 to 1945,0,0,0,0,0,0,,,
      Colombia,    1946 to 1950,10,0,0,0,10,0,,,
      Colombia,    1951 to 1955,45,0,0,0,10,30,,,
      Colombia,    1956 to 1960,110,0,0,50,10,50,,,
      Colombia,    1961 to 1965,85,0,0,35,20,25,,,
      Colombia,    1966 to 1970,430,0,0,215,165,45,,,
      Colombia,    1971 to 1975,2130,0,0,1510,455,165,,,
      Colombia,    1976 to 1980,1380,0,35,1070,200,70,,,
      Colombia,    1981 to 1985,1100,0,170,715,105,115,,,
      Colombia,    1986 to 1990,1825,145,340,1165,95,85,,,
      Colombia,    1991 to 1995,1865,210,325,1150,125,60,,,
      Colombia,    1996 to 2001,6470,1765,785,3705,135,85,,,
      Colombia,  Non-permanent residents,2570,460,585,1455,50,20,,,
      Ecuador,Total - Immigrant Status and Period of Immigration,11435,785,1190,7630,1140,680,,,
      Ecuador,  Non-immigrants,75,35,10,25,0,0,,,
      Ecuador,  Immigrants,10900,645,1130,7345,1140,640,,,
      Ecuador,    Before 1915,0,0,0,0,0,0,,,
      Ecuador,    1916 to 1920,0,0,0,0,0,0,,,
      Ecuador,    1921 to 1925,0,0,0,0,0,0,,,
      Ecuador,    1926 to 1930,0,0,0,0,0,0,,,
      Ecuador,    1931 to 1935,0,0,0,0,0,0,,,
      Ecuador,    1936 to 1940,0,0,0,0,0,0,,,
      Ecuador,    1941 to 1945,0,0,0,0,0,0,,,
      Ecuador,    1946 to 1950,10,0,0,10,0,0,,,
      Ecuador,    1951 to 1955,20,0,0,20,0,0,,,
      Ecuador,    1956 to 1960,30,0,0,15,10,10,,,
      Ecuador,    1961 to 1965,50,0,0,20,15,15,,,
      Ecuador,    1966 to 1970,335,0,0,200,125,10,,,
      Ecuador,    1971 to 1975,2975,0,0,2120,640,220,,,
      Ecuador,    1976 to 1980,1300,0,60,1050,115,85,,,
      Ecuador,    1981 to 1985,765,0,110,565,35,55,,,
      Ecuador,    1986 to 1990,1395,70,150,1030,70,80,,,
      Ecuador,    1991 to 1995,2195,215,415,1365,95,105,,,
      Ecuador,    1996 to 2001,1805,360,405,950,35,60,,,
      Ecuador,  Non-permanent residents,460,110,50,265,0,35,,,
      Falkland Islands (Malvinas),Total - Immigrant Status and Period of Immigration,35,0,0,10,0,20,,,
      Falkland Islands (Malvinas),  Non-immigrants,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),  Immigrants,35,0,0,10,0,20,,,
      Falkland Islands (Malvinas),    Before 1915,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1916 to 1920,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1921 to 1925,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1926 to 1930,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1931 to 1935,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1936 to 1940,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1941 to 1945,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1946 to 1950,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1951 to 1955,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1956 to 1960,15,0,0,0,0,15,,,
      Falkland Islands (Malvinas),    1961 to 1965,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1966 to 1970,10,0,0,0,0,10,,,
      Falkland Islands (Malvinas),    1971 to 1975,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1976 to 1980,15,0,0,10,0,0,,,
      Falkland Islands (Malvinas),    1981 to 1985,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1986 to 1990,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1991 to 1995,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),    1996 to 2001,0,0,0,0,0,0,,,
      Falkland Islands (Malvinas),  Non-permanent residents,0,0,0,0,0,0,,,
      French Guiana,Total - Immigrant Status and Period of Immigration,55,10,20,15,10,10,,,
      French Guiana,  Non-immigrants,0,0,0,0,0,0,,,
      French Guiana,  Immigrants,55,10,20,15,10,10,,,
      French Guiana,    Before 1915,0,0,0,0,0,0,,,
      French Guiana,    1916 to 1920,0,0,0,0,0,0,,,
      French Guiana,    1921 to 1925,0,0,0,0,0,0,,,
      French Guiana,    1926 to 1930,0,0,0,0,0,0,,,
      French Guiana,    1931 to 1935,0,0,0,0,0,0,,,
      French Guiana,    1936 to 1940,0,0,0,0,0,0,,,
      French Guiana,    1941 to 1945,0,0,0,0,0,0,,,
      French Guiana,    1946 to 1950,0,0,0,0,0,0,,,
      French Guiana,    1951 to 1955,0,0,0,0,0,0,,,
      French Guiana,    1956 to 1960,0,0,0,0,0,0,,,
      French Guiana,    1961 to 1965,10,0,0,0,0,10,,,
      French Guiana,    1966 to 1970,10,0,0,0,0,10,,,
      French Guiana,    1971 to 1975,10,0,0,10,0,0,,,
      French Guiana,    1976 to 1980,10,0,0,0,10,0,,,
      French Guiana,    1981 to 1985,0,0,0,0,0,0,,,
      French Guiana,    1986 to 1990,25,0,15,10,0,0,,,
      French Guiana,    1991 to 1995,0,0,0,0,0,0,,,
      French Guiana,    1996 to 2001,10,10,0,0,0,0,,,
      French Guiana,  Non-permanent residents,0,0,0,0,0,0,,,
      Guyana,Total - Immigrant Status and Period of Immigration,84390,3225,6700,54760,9870,9830,,,
      Guyana,  Non-immigrants,295,35,60,180,10,0,,,
      Guyana,  Immigrants,83470,3130,6540,54155,9845,9805,,,
      Guyana,    Before 1915,0,0,0,0,0,0,,,
      Guyana,    1916 to 1920,0,0,0,0,0,0,,,
      Guyana,    1921 to 1925,0,0,0,0,0,0,,,
      Guyana,    1926 to 1930,0,0,0,0,0,0,,,
      Guyana,    1931 to 1935,15,0,0,0,0,15,,,
      Guyana,    1936 to 1940,15,0,0,0,10,10,,,
      Guyana,    1941 to 1945,10,0,0,0,10,0,,,
      Guyana,    1946 to 1950,120,0,0,25,0,90,,,
      Guyana,    1951 to 1955,480,0,0,80,70,330,,,
      Guyana,    1956 to 1960,670,0,0,155,170,340,,,
      Guyana,    1961 to 1965,1920,0,0,630,665,630,,,
      Guyana,    1966 to 1970,5495,0,0,2780,1705,1010,,,
      Guyana,    1971 to 1975,13125,0,0,9330,2425,1370,,,
      Guyana,    1976 to 1980,10960,0,190,8320,1095,1360,,,
      Guyana,    1981 to 1985,11775,0,720,8290,855,1910,,,
      Guyana,    1986 to 1990,15260,250,1890,10605,1105,1410,,,
      Guyana,    1991 to 1995,15005,1225,2170,9380,1230,1000,,,
      Guyana,    1996 to 2001,8615,1655,1575,4550,500,330,,,
      Guyana,  Non-permanent residents,625,55,105,425,20,15,,,
      Paraguay,Total - Immigrant Status and Period of Immigration,5280,355,530,3525,645,225,,,
      Paraguay,  Non-immigrants,275,25,45,165,30,10,,,
      Paraguay,  Immigrants,4950,330,480,3315,605,215,,,
      Paraguay,    Before 1915,10,0,0,0,0,10,,,
      Paraguay,    1916 to 1920,0,0,0,0,0,0,,,
      Paraguay,    1921 to 1925,0,0,0,0,0,0,,,
      Paraguay,    1926 to 1930,0,0,0,0,0,0,,,
      Paraguay,    1931 to 1935,0,0,0,0,0,0,,,
      Paraguay,    1936 to 1940,0,0,0,0,0,0,,,
      Paraguay,    1941 to 1945,0,0,0,0,0,0,,,
      Paraguay,    1946 to 1950,60,0,0,15,30,20,,,
      Paraguay,    1951 to 1955,210,0,0,130,55,20,,,
      Paraguay,    1956 to 1960,500,0,0,395,60,45,,,
      Paraguay,    1961 to 1965,375,0,0,280,85,0,,,
      Paraguay,    1966 to 1970,835,0,0,600,155,80,,,
      Paraguay,    1971 to 1975,630,0,0,460,125,45,,,
      Paraguay,    1976 to 1980,485,0,55,390,35,0,,,
      Paraguay,    1981 to 1985,585,0,150,420,15,0,,,
      Paraguay,    1986 to 1990,495,40,150,270,30,0,,,
      Paraguay,    1991 to 1995,285,50,50,175,0,0,,,
      Paraguay,    1996 to 2001,490,240,70,180,10,0,,,
      Paraguay,  Non-permanent residents,50,0,10,40,0,0,,,
      Peru,Total - Immigrant Status and Period of Immigration,18215,1745,2505,11195,1510,1255,,,
      Peru,  Non-immigrants,165,10,40,70,10,35,,,
      Peru,  Immigrants,17075,1605,2285,10555,1450,1190,,,
      Peru,    Before 1915,0,0,0,0,0,0,,,
      Peru,    1916 to 1920,0,0,0,0,0,0,,,
      Peru,    1921 to 1925,20,0,0,0,0,20,,,
      Peru,    1926 to 1930,0,0,0,0,0,0,,,
      Peru,    1931 to 1935,0,0,0,0,0,0,,,
      Peru,    1936 to 1940,25,0,0,0,0,25,,,
      Peru,    1941 to 1945,15,0,0,0,10,10,,,
      Peru,    1946 to 1950,20,0,0,0,10,15,,,
      Peru,    1951 to 1955,45,0,0,15,10,15,,,
      Peru,    1956 to 1960,70,0,0,30,15,20,,,
      Peru,    1961 to 1965,125,0,0,65,40,15,,,
      Peru,    1966 to 1970,465,0,0,275,155,35,,,
      Peru,    1971 to 1975,1165,0,0,800,310,60,,,
      Peru,    1976 to 1980,1160,0,55,895,130,80,,,
      Peru,    1981 to 1985,1435,0,160,1055,105,115,,,
      Peru,    1986 to 1990,4220,315,730,2575,260,345,,,
      Peru,    1991 to 1995,5265,600,940,3055,300,375,,,
      Peru,    1996 to 2001,3070,680,405,1795,110,80,,,
      Peru,  Non-permanent residents,970,130,180,575,55,30,,,
      Suriname,Total - Immigrant Status and Period of Immigration,850,50,210,370,85,130,,,
      Suriname,  Non-immigrants,15,0,15,0,0,0,,,
      Suriname,  Immigrants,820,50,190,360,85,130,,,
      Suriname,    Before 1915,0,0,0,0,0,0,,,
      Suriname,    1916 to 1920,0,0,0,0,0,0,,,
      Suriname,    1921 to 1925,0,0,0,0,0,0,,,
      Suriname,    1926 to 1930,0,0,0,0,0,0,,,
      Suriname,    1931 to 1935,0,0,0,0,0,0,,,
      Suriname,    1936 to 1940,0,0,0,0,0,0,,,
      Suriname,    1941 to 1945,0,0,0,0,0,0,,,
      Suriname,    1946 to 1950,15,0,0,0,0,15,,,
      Suriname,    1951 to 1955,35,0,0,0,0,30,,,
      Suriname,    1956 to 1960,50,0,0,0,20,20,,,
      Suriname,    1961 to 1965,20,0,0,0,0,20,,,
      Suriname,    1966 to 1970,65,0,0,40,15,10,,,
      Suriname,    1971 to 1975,105,0,0,65,25,15,,,
      Suriname,    1976 to 1980,75,0,10,50,0,10,,,
      Suriname,    1981 to 1985,35,0,0,15,10,0,,,
      Suriname,    1986 to 1990,125,0,45,75,10,10,,,
      Suriname,    1991 to 1995,180,40,75,60,0,0,,,
      Suriname,    1996 to 2001,110,10,55,50,0,0,,,
      Suriname,  Non-permanent residents,15,0,10,0,0,0,,,
      Uruguay,Total - Immigrant Status and Period of Immigration,6305,250,455,4030,980,595,,,
      Uruguay,  Non-immigrants,15,0,0,0,10,0,,,
      Uruguay,  Immigrants,6080,220,415,3900,975,570,,,
      Uruguay,    Before 1915,0,0,0,0,0,0,,,
      Uruguay,    1916 to 1920,0,0,0,0,0,0,,,
      Uruguay,    1921 to 1925,0,0,0,0,0,0,,,
      Uruguay,    1926 to 1930,0,0,0,0,0,0,,,
      Uruguay,    1931 to 1935,0,0,0,0,0,0,,,
      Uruguay,    1936 to 1940,0,0,0,0,0,0,,,
      Uruguay,    1941 to 1945,0,0,0,0,0,0,,,
      Uruguay,    1946 to 1950,10,0,0,0,10,0,,,
      Uruguay,    1951 to 1955,25,0,0,10,0,10,,,
      Uruguay,    1956 to 1960,25,0,0,20,10,0,,,
      Uruguay,    1961 to 1965,70,0,0,35,35,10,,,
      Uruguay,    1966 to 1970,715,0,0,420,200,95,,,
      Uruguay,    1971 to 1975,1345,0,0,835,365,145,,,
      Uruguay,    1976 to 1980,940,0,10,655,170,100,,,
      Uruguay,    1981 to 1985,530,0,40,390,60,50,,,
      Uruguay,    1986 to 1990,855,35,170,535,45,65,,,
      Uruguay,    1991 to 1995,1015,80,85,675,75,100,,,
      Uruguay,    1996 to 2001,560,95,115,330,15,0,,,
      Uruguay,  Non-permanent residents,210,25,30,135,0,25,,,
      Venezuela,Total - Immigrant Status and Period of Immigration,8180,1145,1430,5175,265,165,,,
      Venezuela,  Non-immigrants,180,70,10,100,0,0,,,
      Venezuela,  Immigrants,7030,890,1140,4565,265,165,,,
      Venezuela,    Before 1915,0,0,0,0,0,0,,,
      Venezuela,    1916 to 1920,0,0,0,0,0,0,,,
      Venezuela,    1921 to 1925,0,0,0,0,0,0,,,
      Venezuela,    1926 to 1930,0,0,0,0,0,0,,,
      Venezuela,    1931 to 1935,0,0,0,0,0,0,,,
      Venezuela,    1936 to 1940,0,0,0,0,0,0,,,
      Venezuela,    1941 to 1945,10,0,0,0,10,0,,,
      Venezuela,    1946 to 1950,0,0,0,0,0,0,,,
      Venezuela,    1951 to 1955,100,0,0,60,15,25,,,
      Venezuela,    1956 to 1960,155,0,0,140,10,10,,,
      Venezuela,    1961 to 1965,195,0,0,160,30,0,,,
      Venezuela,    1966 to 1970,330,0,0,295,30,10,,,
      Venezuela,    1971 to 1975,450,0,0,365,35,55,,,
      Venezuela,    1976 to 1980,355,0,30,305,15,10,,,
      Venezuela,    1981 to 1985,515,0,80,400,30,10,,,
      Venezuela,    1986 to 1990,975,40,255,615,35,20,,,
      Venezuela,    1991 to 1995,1655,255,405,945,40,10,,,
      Venezuela,    1996 to 2001,2290,600,365,1280,35,15,,,
      Venezuela,  Non-permanent residents,970,185,280,510,0,0,,,
  Europe,Total - Immigrant Status and Period of Immigration,2357385,78975,111690,1008870,451970,705880,,,
  Europe,  Non-immigrants,33345,5775,4830,18005,2950,1780,,,
  Europe,  Immigrants,2282795,67725,99550,968055,446425,701035,,,
  Europe,    Before 1915,3120,0,0,0,0,3120,,,
  Europe,    1916 to 1920,3460,0,0,0,0,3460,,,
  Europe,    1921 to 1925,10390,0,0,0,0,10390,,,
  Europe,    1926 to 1930,27370,0,0,0,0,27370,,,
  Europe,    1931 to 1935,5760,0,0,0,0,5760,,,
  Europe,    1936 to 1940,9095,0,0,0,560,8535,,,
  Europe,    1941 to 1945,8425,0,0,0,2450,5975,,,
  Europe,    1946 to 1950,119725,0,0,10165,26275,83285,,,
  Europe,    1951 to 1955,292350,0,0,57115,56860,178375,,,
  Europe,    1956 to 1960,328195,0,0,83630,82100,162465,,,
  Europe,    1961 to 1965,201625,0,0,68480,70420,62720,,,
  Europe,    1966 to 1970,313060,0,0,143020,104385,65655,,,
  Europe,    1971 to 1975,204525,0,0,130100,44975,29450,,,
  Europe,    1976 to 1980,133325,0,4425,89180,22585,17135,,,
  Europe,    1981 to 1985,108320,0,12715,71935,12990,10680,,,
  Europe,    1986 to 1990,157135,6550,29695,101155,9465,10270,,,
  Europe,    1991 to 1995,167805,21100,27905,102655,7320,8815,,,
  Europe,    1996 to 2001,189120,40070,24815,110620,6040,7580,,,
  Europe,  Non-permanent residents,41245,5480,7305,22805,2585,3065,,,
    Western Europe,Total - Immigrant Status and Period of Immigration,453665,18670,18485,186545,94340,135625,,,
    Western Europe,  Non-immigrants,19915,3730,3245,12380,230,330,,,
    Western Europe,  Immigrants,422330,13360,12330,168070,93740,134830,,,
    Western Europe,    Before 1915,190,0,0,0,0,190,,,
    Western Europe,    1916 to 1920,110,0,0,0,0,110,,,
    Western Europe,    1921 to 1925,655,0,0,0,0,655,,,
    Western Europe,    1926 to 1930,1875,0,0,0,0,1875,,,
    Western Europe,    1931 to 1935,425,0,0,0,0,425,,,
    Western Europe,    1936 to 1940,835,0,0,0,75,760,,,
    Western Europe,    1941 to 1945,540,0,0,0,130,415,,,
    Western Europe,    1946 to 1950,22755,0,0,5270,6790,10700,,,
    Western Europe,    1951 to 1955,110675,0,0,27060,23535,60085,,,
    Western Europe,    1956 to 1960,76580,0,0,20775,20845,34965,,,
    Western Europe,    1961 to 1965,30905,0,0,10045,12540,8320,,,
    Western Europe,    1966 to 1970,40425,0,0,18010,15550,6865,,,
    Western Europe,    1971 to 1975,23205,0,0,15045,5175,2990,,,
    Western Europe,    1976 to 1980,22180,0,785,15485,3705,2205,,,
    Western Europe,    1981 to 1985,20130,0,2440,13545,2535,1615,,,
    Western Europe,    1986 to 1990,19000,1430,3255,11910,1180,1225,,,
    Western Europe,    1991 to 1995,20710,3640,2735,12680,885,770,,,
    Western Europe,    1996 to 2001,31125,8290,3115,18255,790,665,,,
    Western Europe,  Non-permanent residents,11420,1585,2910,6095,365,465,,,
      Austria,Total - Immigrant Status and Period of Immigration,22510,475,570,7135,4800,9535,,,
      Austria,  Non-immigrants,210,75,60,50,0,15,,,
      Austria,  Immigrants,22075,365,470,6975,4775,9490,,,
      Austria,    Before 1915,50,0,0,0,0,50,,,
      Austria,    1916 to 1920,25,0,0,0,0,25,,,
      Austria,    1921 to 1925,60,0,0,0,0,60,,,
      Austria,    1926 to 1930,255,0,0,0,0,255,,,
      Austria,    1931 to 1935,45,0,0,0,0,45,,,
      Austria,    1936 to 1940,125,0,0,0,0,120,,,
      Austria,    1941 to 1945,50,0,0,0,0,50,,,
      Austria,    1946 to 1950,1140,0,0,385,275,480,,,
      Austria,    1951 to 1955,7850,0,0,1730,1000,5115,,,
      Austria,    1956 to 1960,4025,0,0,970,1060,1995,,,
      Austria,    1961 to 1965,2110,0,0,585,950,580,,,
      Austria,    1966 to 1970,1985,0,0,720,960,310,,,
      Austria,    1971 to 1975,925,0,0,630,185,105,,,
      Austria,    1976 to 1980,720,0,30,495,135,60,,,
      Austria,    1981 to 1985,770,0,230,360,90,95,,,
      Austria,    1986 to 1990,790,150,100,415,55,65,,,
      Austria,    1991 to 1995,515,65,50,315,35,50,,,
      Austria,    1996 to 2001,630,145,65,365,25,30,,,
      Austria,  Non-permanent residents,225,30,40,110,20,25,,,
      Belgium,Total - Immigrant Status and Period of Immigration,20815,730,820,9735,3445,6095,,,
      Belgium,  Non-immigrants,555,145,130,205,55,20,,,
      Belgium,  Immigrants,19640,490,555,9195,3375,6030,,,
      Belgium,    Before 1915,40,0,0,0,0,40,,,
      Belgium,    1916 to 1920,25,0,0,0,0,25,,,
      Belgium,    1921 to 1925,125,0,0,0,0,125,,,
      Belgium,    1926 to 1930,310,0,0,0,0,310,,,
      Belgium,    1931 to 1935,55,0,0,0,0,55,,,
      Belgium,    1936 to 1940,90,0,0,0,10,80,,,
      Belgium,    1941 to 1945,30,0,0,0,10,20,,,
      Belgium,    1946 to 1950,1360,0,0,310,290,755,,,
      Belgium,    1951 to 1955,3770,0,0,1600,720,1450,,,
      Belgium,    1956 to 1960,3860,0,0,1420,780,1660,,,
      Belgium,    1961 to 1965,1720,0,0,745,425,545,,,
      Belgium,    1966 to 1970,1865,0,0,960,590,320,,,
      Belgium,    1971 to 1975,1190,0,0,770,255,170,,,
      Belgium,    1976 to 1980,1095,0,50,795,120,120,,,
      Belgium,    1981 to 1985,1165,0,115,770,110,165,,,
      Belgium,    1986 to 1990,790,30,90,550,45,85,,,
      Belgium,    1991 to 1995,735,100,120,475,25,15,,,
      Belgium,    1996 to 2001,1425,355,175,795,10,80,,,
      Belgium,  Non-permanent residents,615,95,130,340,10,40,,,
      France,Total - Immigrant Status and Period of Immigration,78825,5295,6205,44920,10775,11630,,,
      France,  Non-immigrants,4155,755,445,2840,15,95,,,
      France,  Immigrants,69105,3850,3940,39170,10675,11470,,,
      France,    Before 1915,30,0,0,0,0,30,,,
      France,    1916 to 1920,30,0,0,0,0,30,,,
      France,    1921 to 1925,30,0,0,0,0,30,,,
      France,    1926 to 1930,90,0,0,0,0,90,,,
      France,    1931 to 1935,30,0,0,0,0,30,,,
      France,    1936 to 1940,85,0,0,0,0,85,,,
      France,    1941 to 1945,55,0,0,0,20,40,,,
      France,    1946 to 1950,995,0,0,100,260,635,,,
      France,    1951 to 1955,5260,0,0,1355,795,3105,,,
      France,    1956 to 1960,5025,0,0,1485,960,2580,,,
      France,    1961 to 1965,4740,0,0,1650,1705,1390,,,
      France,    1966 to 1970,8910,0,0,4080,3460,1370,,,
      France,    1971 to 1975,6275,0,0,4095,1460,720,,,
      France,    1976 to 1980,5815,0,155,4185,890,585,,,
      France,    1981 to 1985,4410,0,460,3210,450,285,,,
      France,    1986 to 1990,5520,225,970,3890,250,190,,,
      France,    1991 to 1995,8360,1000,1045,5950,240,130,,,
      France,    1996 to 2001,13440,2625,1315,9160,185,155,,,
      France,  Non-permanent residents,5575,690,1820,2910,90,65,,,
      Germany,Total - Immigrant Status and Period of Immigration,190335,8475,7285,73680,41080,59820,,,
      Germany,  Non-immigrants,13370,2175,2305,8690,100,105,,,
      Germany,  Immigrants,173500,5735,4380,63135,40780,59475,,,
      Germany,    Before 1915,60,0,0,0,0,60,,,
      Germany,    1916 to 1920,10,0,0,0,0,10,,,
      Germany,    1921 to 1925,230,0,0,0,0,230,,,
      Germany,    1926 to 1930,795,0,0,0,0,795,,,
      Germany,    1931 to 1935,235,0,0,0,0,235,,,
      Germany,    1936 to 1940,265,0,0,0,20,245,,,
      Germany,    1941 to 1945,230,0,0,0,55,175,,,
      Germany,    1946 to 1950,7030,0,0,3055,2020,1955,,,
      Germany,    1951 to 1955,47935,0,0,11455,8830,27645,,,
      Germany,    1956 to 1960,39800,0,0,9960,11800,18035,,,
      Germany,    1961 to 1965,14695,0,0,4855,6315,3530,,,
      Germany,    1966 to 1970,16270,0,0,6970,6450,2855,,,
      Germany,    1971 to 1975,7910,0,0,5010,1715,1190,,,
      Germany,    1976 to 1980,6910,0,280,4695,1240,700,,,
      Germany,    1981 to 1985,8530,0,1130,5560,1155,690,,,
      Germany,    1986 to 1990,7405,820,1355,4265,440,520,,,
      Germany,    1991 to 1995,6785,1770,910,3395,380,325,,,
      Germany,    1996 to 2001,8420,3145,710,3920,370,270,,,
      Germany,  Non-permanent residents,3465,565,600,1850,205,240,,,
      Liechtenstein,Total - Immigrant Status and Period of Immigration,60,10,0,15,20,15,,,
      Liechtenstein,  Non-immigrants,0,0,0,0,0,0,,,
      Liechtenstein,  Immigrants,60,10,0,15,20,15,,,
      Liechtenstein,    Before 1915,0,0,0,0,0,0,,,
      Liechtenstein,    1916 to 1920,0,0,0,0,0,0,,,
      Liechtenstein,    1921 to 1925,0,0,0,0,0,0,,,
      Liechtenstein,    1926 to 1930,0,0,0,0,0,0,,,
      Liechtenstein,    1931 to 1935,0,0,0,0,0,0,,,
      Liechtenstein,    1936 to 1940,10,0,0,0,10,0,,,
      Liechtenstein,    1941 to 1945,0,0,0,0,0,0,,,
      Liechtenstein,    1946 to 1950,0,0,0,0,0,0,,,
      Liechtenstein,    1951 to 1955,0,0,0,0,0,0,,,
      Liechtenstein,    1956 to 1960,0,0,0,0,0,0,,,
      Liechtenstein,    1961 to 1965,0,0,0,0,0,0,,,
      Liechtenstein,    1966 to 1970,10,0,0,10,0,0,,,
      Liechtenstein,    1971 to 1975,10,0,0,0,10,0,,,
      Liechtenstein,    1976 to 1980,10,0,0,0,0,10,,,
      Liechtenstein,    1981 to 1985,0,0,0,0,0,0,,,
      Liechtenstein,    1986 to 1990,0,0,0,0,0,0,,,
      Liechtenstein,    1991 to 1995,15,0,0,0,0,0,,,
      Liechtenstein,    1996 to 2001,10,10,0,0,0,0,,,
      Liechtenstein,  Non-permanent residents,0,0,0,0,0,0,,,
      Luxembourg,Total - Immigrant Status and Period of Immigration,560,45,10,180,90,225,,,
      Luxembourg,  Non-immigrants,30,15,0,10,0,0,,,
      Luxembourg,  Immigrants,495,15,10,160,85,225,,,
      Luxembourg,    Before 1915,0,0,0,0,0,0,,,
      Luxembourg,    1916 to 1920,0,0,0,0,0,0,,,
      Luxembourg,    1921 to 1925,0,0,0,0,0,0,,,
      Luxembourg,    1926 to 1930,0,0,0,0,0,0,,,
      Luxembourg,    1931 to 1935,0,0,0,0,0,0,,,
      Luxembourg,    1936 to 1940,0,0,0,0,0,0,,,
      Luxembourg,    1941 to 1945,0,0,0,0,0,0,,,
      Luxembourg,    1946 to 1950,10,0,0,0,0,10,,,
      Luxembourg,    1951 to 1955,95,0,0,10,10,75,,,
      Luxembourg,    1956 to 1960,145,0,0,10,40,105,,,
      Luxembourg,    1961 to 1965,55,0,0,20,30,0,,,
      Luxembourg,    1966 to 1970,40,0,0,20,10,0,,,
      Luxembourg,    1971 to 1975,40,0,0,25,0,10,,,
      Luxembourg,    1976 to 1980,30,0,0,30,0,0,,,
      Luxembourg,    1981 to 1985,25,0,10,10,0,10,,,
      Luxembourg,    1986 to 1990,25,0,10,15,0,0,,,
      Luxembourg,    1991 to 1995,10,0,0,0,0,0,,,
      Luxembourg,    1996 to 2001,20,0,0,15,0,0,,,
      Luxembourg,  Non-permanent residents,30,10,10,15,0,0,,,
      Monaco,Total - Immigrant Status and Period of Immigration,110,25,10,60,0,10,,,
      Monaco,  Non-immigrants,0,0,0,0,0,0,,,
      Monaco,  Immigrants,110,25,10,60,0,10,,,
      Monaco,    Before 1915,0,0,0,0,0,0,,,
      Monaco,    1916 to 1920,0,0,0,0,0,0,,,
      Monaco,    1921 to 1925,0,0,0,0,0,0,,,
      Monaco,    1926 to 1930,0,0,0,0,0,0,,,
      Monaco,    1931 to 1935,0,0,0,0,0,0,,,
      Monaco,    1936 to 1940,0,0,0,0,0,0,,,
      Monaco,    1941 to 1945,0,0,0,0,0,0,,,
      Monaco,    1946 to 1950,0,0,0,0,0,0,,,
      Monaco,    1951 to 1955,10,0,0,10,0,0,,,
      Monaco,    1956 to 1960,10,0,0,0,0,10,,,
      Monaco,    1961 to 1965,10,0,0,10,0,0,,,
      Monaco,    1966 to 1970,0,0,0,0,0,0,,,
      Monaco,    1971 to 1975,10,0,0,10,0,0,,,
      Monaco,    1976 to 1980,0,0,0,0,0,0,,,
      Monaco,    1981 to 1985,10,0,0,10,0,0,,,
      Monaco,    1986 to 1990,20,10,0,10,0,0,,,
      Monaco,    1991 to 1995,15,0,0,15,0,0,,,
